species,longitude,latitude
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-71.7141,4.5858
Plagioscion_squamosissimus,-54.8093,-2.2295
Plagioscion_squamosissimus,-57.1816,5.1527
Plagioscion_squamosissimus,-73.18,3.01
Plagioscion_squamosissimus,-68.08,6.02
Plagioscion_squamosissimus,-70.41,5.51
Plagioscion_squamosissimus,-72.56,4.31
Plagioscion_squamosissimus,-67.4262,5.9952
Plagioscion_squamosissimus,-72.56,4.3
Plagioscion_squamosissimus,-72.56,4.31
Plagioscion_squamosissimus,-72.56,4.31
Plagioscion_squamosissimus,-50.9925,-4.45
Plagioscion_squamosissimus,-50.3339,4.2972
Plagioscion_squamosissimus,-50.1736,4.0494
Plagioscion_squamosissimus,-48.7767,-1.5591
Plagioscion_squamosissimus,-50.0817,3.9064
Plagioscion_squamosissimus,-51.1936,3.9133
Plagioscion_squamosissimus,-50.9528,4.5153
Plagioscion_squamosissimus,-60.02,-3.1
Plagioscion_squamosissimus,-60.02,-3.1
Plagioscion_squamosissimus,-70.2289,-4.3531
Plagioscion_squamosissimus,-55.0767,-2.2378
Plagioscion_squamosissimus,-54.9106,-2.3594
Plagioscion_squamosissimus,-54.8708,-2.1806
Plagioscion_squamosissimus,-55.2292,-3.1011
Plagioscion_squamosissimus,-55.4097,-2.0431
Plagioscion_squamosissimus,-55.2583,-2.1469
Plagioscion_squamosissimus,-54.8019,-2.2461
Plagioscion_squamosissimus,-54.96,-2.4936
Plagioscion_squamosissimus,-54.8542,-2.1878
Plagioscion_squamosissimus,-55.0397,-2.1861
Plagioscion_squamosissimus,-47.0203,-14.3933
Plagioscion_squamosissimus,-60.5333,-3.0333
Plagioscion_squamosissimus,-47.0367,-14.3917
Plagioscion_squamosissimus,-59.2333,7.6667
Plagioscion_squamosissimus,-59.2333,7.65
Plagioscion_squamosissimus,-59.2333,7.6833
Plagioscion_squamosissimus,-59.55,7.5167
Plagioscion_squamosissimus,-59.2333,7.65
Plagioscion_squamosissimus,-60.0167,-3.1
Plagioscion_squamosissimus,-60.0167,-3.1
Plagioscion_squamosissimus,-50.7964,-5.4808
Plagioscion_squamosissimus,-50.6761,-6.08
Plagioscion_squamosissimus,-50.5136,-6.955
Plagioscion_squamosissimus,-49.5844,-6.1386
Plagioscion_squamosissimus,-51.2867,-4.6622
Plagioscion_squamosissimus,-50.5828,-6.3319
Plagioscion_squamosissimus,-50.8053,-4.3208
Plagioscion_squamosissimus,-49.9319,-5.2775
Plagioscion_squamosissimus,-51.0333,-5.5086
Plagioscion_squamosissimus,-49.5792,-5.1883
Plagioscion_squamosissimus,-50.7964,-5.4808
Plagioscion_squamosissimus,-51.0333,-5.5086
Plagioscion_squamosissimus,-49.6203,-5.6092
Plagioscion_squamosissimus,-49.5792,-5.1883
Plagioscion_squamosissimus,-50.3469,-5.0858
Plagioscion_squamosissimus,-49.7408,-5.6583
Plagioscion_squamosissimus,-50.3036,-5.7583
Plagioscion_squamosissimus,-50.0139,-5.3419
Plagioscion_squamosissimus,-50.4347,-4.8364
Plagioscion_squamosissimus,-50.0347,-5.4522
Plagioscion_squamosissimus,-50.6761,-6.08
