species;longitude;latitude
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-50.26;-22.93
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-50.26;-21.11
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-50.26;-22.93
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-50.26;-22.93
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-53.35;-22.79
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-50.26;-22.93
Plagioscion_squamosissimus;-48.6844;-22.1906
Plagioscion_squamosissimus;-57.1667;-21.1167
Plagioscion_squamosissimus;-55.8154;-27.4618
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-51.381;-22.661
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-50.262;-22.936
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-51.381;-22.661
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-50.262;-22.936
Plagioscion_squamosissimus;-50.262;-22.936
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-51.381;-22.661
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-50.262;-22.936
Plagioscion_squamosissimus;-51.381;-22.661
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-50.262;-22.936
Plagioscion_squamosissimus;-51.381;-22.661
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-51.381;-22.661
Plagioscion_squamosissimus;-50.262;-22.936
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-52.027;-22.531
